Date : 2021-12-08 22:43:59
Directory : c:\Users\19203\Desktop\news-font
Total : 275 files,  47224 codes, 276 comments, 1830 blanks, all 49330 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |     25,894 |          0 |          2 |     25,896 |
| Vue.js     |        248 |     20,612 |        248 |      1,778 |     22,638 |
| JavaScript |         14 |        416 |         26 |         28 |        470 |
| Less       |          4 |        165 |          0 |          1 |        166 |
| CSS        |          5 |         83 |          1 |          8 |         92 |
| Markdown   |          1 |         38 |          0 |         12 |         50 |
| HTML       |          1 |         16 |          1 |          1 |         18 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        275 |     47,224 |        276 |      1,830 |     49,330 |
| .history                                                                                                 |        232 |     19,381 |        240 |      1,690 |     21,311 |
| .history\src                                                                                             |        232 |     19,381 |        240 |      1,690 |     21,311 |
| .history\src\assets                                                                                      |          3 |        106 |          0 |          1 |        107 |
| .history\src\assets\css                                                                                  |          3 |        106 |          0 |          1 |        107 |
| .history\src\components                                                                                  |         37 |      1,339 |         16 |         70 |      1,425 |
| .history\src\components\comments                                                                         |         29 |      1,114 |         16 |         63 |      1,193 |
| .history\src\components\comments\style1                                                                  |          4 |        102 |          0 |          8 |        110 |
| .history\src\components\news                                                                             |          8 |        225 |          0 |          7 |        232 |
| .history\src\components\news\comments                                                                    |          8 |        225 |          0 |          7 |        232 |
| .history\src\config                                                                                      |          2 |          4 |          0 |          0 |          4 |
| .history\src\config\style                                                                                |          2 |          4 |          0 |          0 |          4 |
| .history\src\network                                                                                     |          2 |          1 |          0 |          2 |          3 |
| .history\src\network\api                                                                                 |          2 |          1 |          0 |          2 |          3 |
| .history\src\views                                                                                       |        186 |     17,920 |        224 |      1,612 |     19,756 |
| .history\src\views\comment_detail                                                                        |         92 |      9,400 |        209 |        883 |     10,492 |
| .history\src\views\login                                                                                 |         31 |      2,892 |          0 |        214 |      3,106 |
| .history\src\views\register                                                                              |          9 |        833 |          0 |         72 |        905 |
| .history\src\views\reset                                                                                 |         54 |      4,795 |         15 |        443 |      5,253 |
| .history\src\views\reset\components                                                                      |          3 |        152 |          8 |          3 |        163 |
| public                                                                                                   |          1 |         16 |          1 |          1 |         18 |
| src                                                                                                      |         37 |      1,871 |         35 |        123 |      2,029 |
| src\assets                                                                                               |          2 |         94 |          0 |          8 |        102 |
| src\assets\css                                                                                           |          2 |         94 |          0 |          8 |        102 |
| src\components                                                                                           |          8 |        356 |          2 |         16 |        374 |
| src\components\comments                                                                                  |          3 |        119 |          2 |          5 |        126 |
| src\components\news                                                                                      |          5 |        237 |          0 |         11 |        248 |
| src\config                                                                                               |          3 |         93 |          1 |          2 |         96 |
| src\config\style                                                                                         |          2 |         44 |          1 |          0 |         45 |
| src\network                                                                                              |          3 |         67 |         11 |          8 |         86 |
| src\network\api                                                                                          |          2 |         44 |          5 |          6 |         55 |
| src\router                                                                                               |          1 |         61 |          0 |          5 |         66 |
| src\store                                                                                                |          4 |        205 |         15 |          7 |        227 |
| src\store\module                                                                                         |          3 |        191 |         15 |          4 |        210 |
| src\views                                                                                                |         14 |        980 |          6 |         73 |      1,059 |
| src\views\comment_detail                                                                                 |          1 |         81 |          2 |          7 |         90 |
| src\views\home                                                                                           |          3 |        135 |          4 |         14 |        153 |
| src\views\home\components                                                                                |          2 |        109 |          4 |          9 |        122 |
| src\views\login                                                                                          |          1 |         97 |          0 |          7 |        104 |
| src\views\my                                                                                             |          1 |         84 |          0 |          5 |         89 |
| src\views\news_detail                                                                                    |          4 |        252 |          0 |         15 |        267 |
| src\views\news_detail\components                                                                         |          3 |        162 |          0 |          9 |        171 |
| src\views\notfind                                                                                        |          1 |         40 |          0 |          2 |         42 |
| src\views\register                                                                                       |          1 |        103 |          0 |          9 |        112 |
| src\views\reset                                                                                          |          1 |         87 |          0 |         10 |         97 |
| src\views\setting                                                                                        |          1 |        101 |          0 |          4 |        105 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                 | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\19203\Desktop\news-font\.history\src\App_20211206143529.vue                                     | Vue.js     |          5 |          0 |          3 |          8 |
| c:\Users\19203\Desktop\news-font\.history\src\App_20211206202245.vue                                     | Vue.js     |          6 |          0 |          2 |          8 |
| c:\Users\19203\Desktop\news-font\.history\src\assets\css\comment_20211206183645.less                     | Less       |          0 |          0 |          1 |          1 |
| c:\Users\19203\Desktop\news-font\.history\src\assets\css\comment_20211206183710.less                     | Less       |         47 |          0 |          0 |         47 |
| c:\Users\19203\Desktop\news-font\.history\src\assets\css\comment_20211206214416.less                     | Less       |         59 |          0 |          0 |         59 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\comment_content_20211206220557.vue     | Vue.js     |          0 |          0 |          1 |          1 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\comment_content_20211206220754.vue     | Vue.js     |          2 |          0 |          1 |          3 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\comment_content_20211206220851.vue     | Vue.js     |          2 |          0 |          1 |          3 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\comment_style1_20211206203706.vue      | Vue.js     |         34 |          0 |          3 |         37 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\comment_style1_20211206205755.vue      | Vue.js     |         34 |          0 |          3 |         37 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1\index_20211206210419.vue        | Vue.js     |          0 |          0 |          1 |          1 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1\index_20211206210709.vue        | Vue.js     |         34 |          0 |          3 |         37 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1\index_20211206211702.vue        | Vue.js     |         34 |          0 |          2 |         36 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1\index_20211206211854.vue        | Vue.js     |         34 |          0 |          2 |         36 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206212207.vue              | Vue.js     |          0 |          0 |          1 |          1 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206212302.vue              | Vue.js     |         34 |          0 |          2 |         36 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206213153.vue              | Vue.js     |         34 |          1 |          2 |         37 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206213643.vue              | Vue.js     |         34 |          1 |          2 |         37 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206213654.vue              | Vue.js     |         34 |          1 |          2 |         37 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206213947.vue              | Vue.js     |         50 |          1 |          4 |         55 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206214259.vue              | Vue.js     |         58 |          1 |          3 |         62 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206214739.vue              | Vue.js     |         56 |          1 |          5 |         62 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206215018.vue              | Vue.js     |         56 |          1 |          2 |         59 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206215848.vue              | Vue.js     |         56 |          1 |          2 |         59 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style1_20211206220754.vue              | Vue.js     |         56 |          1 |          2 |         59 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style2_20211206213716.vue              | Vue.js     |          0 |          0 |          1 |          1 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style2_20211206215018.vue              | Vue.js     |         41 |          0 |          2 |         43 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style2_20211206215800.vue              | Vue.js     |         63 |          1 |          2 |         66 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style2_20211206215910.vue              | Vue.js     |         63 |          1 |          2 |         66 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style2_20211206215953.vue              | Vue.js     |         61 |          1 |          4 |         66 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style2_20211206220009.vue              | Vue.js     |         61 |          1 |          2 |         64 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style2_20211206220222.vue              | Vue.js     |         61 |          1 |          2 |         64 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style2_20211206220754.vue              | Vue.js     |         61 |          1 |          2 |         64 |
| c:\Users\19203\Desktop\news-font\.history\src\components\comments\style2_20211206223149.vue              | Vue.js     |         61 |          1 |          2 |         64 |
| c:\Users\19203\Desktop\news-font\.history\src\components\news\comments\comment_20211206180755.vue        | Vue.js     |          0 |          0 |          1 |          1 |
| c:\Users\19203\Desktop\news-font\.history\src\components\news\comments\comment_20211206181327.vue        | Vue.js     |          2 |          0 |          1 |          3 |
| c:\Users\19203\Desktop\news-font\.history\src\components\news\comments\comment_reply_20211206180817.vue  | Vue.js     |          0 |          0 |          1 |          1 |
| c:\Users\19203\Desktop\news-font\.history\src\components\news\comments\comment_reply_20211206182602.vue  | Vue.js     |          0 |          0 |          1 |          1 |
| c:\Users\19203\Desktop\news-font\.history\src\components\news\comments\comment_reply_20211206183012.vue  | Vue.js     |         61 |          0 |          0 |         61 |
| c:\Users\19203\Desktop\news-font\.history\src\components\news\comments\comment_reply_20211206183239.vue  | Vue.js     |         64 |          0 |          0 |         64 |
| c:\Users\19203\Desktop\news-font\.history\src\components\news\comments\comment_style1_20211206202451.vue | Vue.js     |         64 |          0 |          0 |         64 |
| c:\Users\19203\Desktop\news-font\.history\src\components\news\comments\comment_style1_20211206203707.vue | Vue.js     |         34 |          0 |          3 |         37 |
| c:\Users\19203\Desktop\news-font\.history\src\config\style\index_20211206143529.css                      | CSS        |          2 |          0 |          0 |          2 |
| c:\Users\19203\Desktop\news-font\.history\src\config\style\index_20211206225230.css                      | CSS        |          2 |          0 |          0 |          2 |
| c:\Users\19203\Desktop\news-font\.history\src\network\api\login-register_20211206174110.js               | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\19203\Desktop\news-font\.history\src\network\api\login-register_20211206180259.js               | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206143529.vue              | Vue.js     |          9 |          0 |          4 |         13 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206181327.vue              | Vue.js     |        186 |          3 |         13 |        202 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206182602.vue              | Vue.js     |        186 |          1 |         13 |        200 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206183153.vue              | Vue.js     |        140 |         48 |         13 |        201 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206183445.vue              | Vue.js     |        140 |         48 |         14 |        202 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206183710.vue              | Vue.js     |        140 |         48 |         14 |        202 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206183823.vue              | Vue.js     |        140 |          1 |         15 |        156 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206205755.vue              | Vue.js     |        142 |          1 |         17 |        160 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206205952.vue              | Vue.js     |        145 |          1 |         16 |        162 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206210050.vue              | Vue.js     |        145 |          1 |         16 |        162 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206210709.vue              | Vue.js     |        143 |          1 |         16 |        160 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206210821.vue              | Vue.js     |        143 |          1 |         16 |        160 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206211328.vue              | Vue.js     |        143 |          1 |         16 |        160 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206211401.vue              | Vue.js     |        144 |          1 |         15 |        160 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206211435.vue              | Vue.js     |        144 |          1 |         15 |        160 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206211524.vue              | Vue.js     |        144 |          1 |         15 |        160 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206211702.vue              | Vue.js     |        143 |          1 |         15 |        159 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206211733.vue              | Vue.js     |        143 |          1 |         15 |        159 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206211854.vue              | Vue.js     |        143 |          1 |         14 |        158 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206212302.vue              | Vue.js     |        143 |          1 |         14 |        158 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206212357.vue              | Vue.js     |        146 |          1 |         14 |        161 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206212359.vue              | Vue.js     |        146 |          1 |         14 |        161 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206212440.vue              | Vue.js     |        143 |          1 |         14 |        158 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206212743.vue              | Vue.js     |        145 |          1 |         15 |        161 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206213153.vue              | Vue.js     |        147 |          1 |         15 |        163 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206213204.vue              | Vue.js     |        146 |          1 |         15 |        162 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206213309.vue              | Vue.js     |        145 |          1 |         16 |        162 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206213416.vue              | Vue.js     |        145 |          1 |         11 |        157 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206213606.vue              | Vue.js     |        145 |          1 |         11 |        157 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206213947.vue              | Vue.js     |        116 |          1 |         12 |        129 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206214338.vue              | Vue.js     |        114 |          2 |         12 |        128 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206214416.vue              | Vue.js     |        102 |          2 |         13 |        117 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206214739.vue              | Vue.js     |        147 |          1 |         10 |        158 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206214756.vue              | Vue.js     |        145 |          3 |         10 |        158 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206215019.vue              | Vue.js     |        116 |          1 |         10 |        127 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206215024.vue              | Vue.js     |        116 |          1 |         10 |        127 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206215800.vue              | Vue.js     |         81 |          1 |          7 |         89 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206215848.vue              | Vue.js     |         69 |          1 |          6 |         76 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206215953.vue              | Vue.js     |         71 |          1 |          6 |         78 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206220222.vue              | Vue.js     |         71 |          1 |          6 |         78 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206220523.vue              | Vue.js     |         74 |          1 |          6 |         81 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206220941.vue              | Vue.js     |         75 |          1 |          6 |         82 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221145.vue              | Vue.js     |         80 |          1 |          6 |         87 |
| c:\Users\19203\Desktop\news-font\.history\src\views\comment_detail\index_20211206221348.vue              | Vue.js     |         80 |          1 |          6 |         87 |
